month_end,rank,agent,equity,return,distance_to_2x,message
2025-05-31,1,OptionsOnly_NoIntervention,1151.2176454020046,0.15121764540200466,848.7823545979954,"OptionsOnly_NoIntervention: chasing Human_SPY_BuyHold; target remains 2x. Options-only, no intervention: monthly ATM calls on strongest assets, max 50% premium at risk."
2025-05-31,2,Options_RiskRules,1105.8523517814033,0.10585235178140318,894.1476482185967,Options_RiskRules: chasing Human_SPY_BuyHold; target remains 2x. Mechanical risk rules: premium risk reduced to 35%; peak-aware capital preservation.
2025-05-31,3,Options_HumanOverseer,1083.2269097999147,0.08322690979991476,916.7730902000853,Options_HumanOverseer: chasing Human_SPY_BuyHold; target remains 2x. Human overseer: approve options but cap premium at 25% and park capital in SPY.
2025-05-31,4,Human_QQQ_BuyHold,1072.8503163339715,0.07285031633397154,927.1496836660285,Human_QQQ_BuyHold: chasing Human_SPY_BuyHold; target remains 2x. Static human-style benchmark.
2025-05-31,5,Human_SPY_BuyHold,1050.7872473260834,0.05078724732608331,949.2127526739166,Human_SPY_BuyHold: leading now; preserving edge. Static human-style benchmark.
2025-05-31,6,Options_CommitteeVeto,1041.141935271207,0.04114193527120702,958.8580647287929,"Options_CommitteeVeto: chasing Human_SPY_BuyHold; target remains 2x. Committee veto: trend/risk agents warn risk-off, shrink options to 10%."
2025-05-31,7,Anything_CrossAssetAgent,1019.5716300733854,0.01957163007338547,980.4283699266146,"Anything_CrossAssetAgent: chasing Human_SPY_BuyHold; target remains 2x. Cross-asset relative strength: stocks, ETFs, bonds, gold, dollar, FX, crypto."
2025-05-31,8,Human_60_40,1016.7180876490036,0.01671808764900362,983.2819123509964,Human_60_40: chasing Human_SPY_BuyHold; target remains 2x. Static human-style benchmark.
2025-05-31,9,Normal_SectorStockAgent,1009.5742315777898,0.009574231577789805,990.4257684222102,Normal_SectorStockAgent: chasing Human_SPY_BuyHold; target remains 2x. Monthly sector momentum with cash buffer.
2025-06-30,1,Options_CommitteeVeto,1691.1692519302687,0.6911692519302688,308.83074806973127,Options_CommitteeVeto: chasing OptionsOnly_NoIntervention; target remains 2x. Committee veto: options proposal approved with stock hedge and reduced premium.
2025-06-30,2,OptionsOnly_NoIntervention,1656.2320000580348,0.6562320000580348,343.7679999419652,"OptionsOnly_NoIntervention: leading now; preserving edge. Options-only, no intervention: monthly ATM calls on strongest assets, max 50% premium at risk."
2025-06-30,3,Options_RiskRules,1500.7742883351718,0.5007742883351718,499.22571166482817,Options_RiskRules: chasing OptionsOnly_NoIntervention; target remains 2x. Mechanical risk rules: premium risk reduced to 35%; peak-aware capital preservation.
2025-06-30,4,Options_HumanOverseer,1395.521629463478,0.3955216294634778,604.4783705365221,Options_HumanOverseer: chasing OptionsOnly_NoIntervention; target remains 2x. Human overseer: approve options but cap premium at 25% and park capital in SPY.
2025-06-30,5,Human_QQQ_BuyHold,1140.1431506784022,0.1401431506784021,859.8568493215978,Human_QQQ_BuyHold: chasing OptionsOnly_NoIntervention; target remains 2x. Static human-style benchmark.
2025-06-30,6,Anything_CrossAssetAgent,1103.573233718067,0.10357323371806704,896.4267662819329,"Anything_CrossAssetAgent: chasing OptionsOnly_NoIntervention; target remains 2x. Cross-asset relative strength: stocks, ETFs, bonds, gold, dollar, FX, crypto."
2025-06-30,7,Human_SPY_BuyHold,1101.5750503588783,0.10157505035887837,898.4249496411217,Human_SPY_BuyHold: chasing OptionsOnly_NoIntervention; target remains 2x. Static human-style benchmark.
2025-06-30,8,Normal_SectorStockAgent,1082.077943766423,0.08207794376642297,917.922056233577,Normal_SectorStockAgent: chasing OptionsOnly_NoIntervention; target remains 2x. Monthly sector momentum with cash buffer.
2025-06-30,9,Human_60_40,1055.4392483346155,0.055439248334615554,944.5607516653845,Human_60_40: chasing OptionsOnly_NoIntervention; target remains 2x. Static human-style benchmark.
2025-07-31,1,OptionsOnly_NoIntervention,3478.790561638766,2.478790561638766,-1478.7905616387661,"OptionsOnly_NoIntervention: chasing Options_CommitteeVeto; target remains 2x. Options-only, no intervention: monthly ATM calls on strongest assets, max 50% premium at risk."
2025-07-31,2,Options_RiskRules,2658.464713944087,1.6584647139440873,-658.4647139440872,Options_RiskRules: chasing Options_CommitteeVeto; target remains 2x. Mechanical risk rules: premium risk reduced to 35%; peak-aware capital preservation.
2025-07-31,3,Options_CommitteeVeto,2610.1461134926676,1.6101461134926676,-610.1461134926676,Options_CommitteeVeto: leading now; preserving edge. Committee veto: options proposal approved with stock hedge and reduced premium.
2025-07-31,4,Options_HumanOverseer,2176.9417945782834,1.1769417945782834,-176.9417945782834,Options_HumanOverseer: chasing Options_CommitteeVeto; target remains 2x. Human overseer: approve options but cap premium at 25% and park capital in SPY.
2025-07-31,5,Anything_CrossAssetAgent,1210.0337654860614,0.21003376548606134,789.9662345139386,"Anything_CrossAssetAgent: chasing Options_CommitteeVeto; target remains 2x. Cross-asset relative strength: stocks, ETFs, bonds, gold, dollar, FX, crypto."
2025-07-31,6,Normal_SectorStockAgent,1187.832518668715,0.1878325186687151,812.167481331285,Normal_SectorStockAgent: chasing Options_CommitteeVeto; target remains 2x. Monthly sector momentum with cash buffer.
2025-07-31,7,Human_QQQ_BuyHold,1167.8008222530534,0.16780082225305337,832.1991777469466,Human_QQQ_BuyHold: chasing Options_CommitteeVeto; target remains 2x. Static human-style benchmark.
2025-07-31,8,Human_SPY_BuyHold,1126.9690607946627,0.12696906079466275,873.0309392053373,Human_SPY_BuyHold: chasing Options_CommitteeVeto; target remains 2x. Static human-style benchmark.
2025-07-31,9,Human_60_40,1063.8850615276476,0.06388506152764761,936.1149384723524,Human_60_40: chasing Options_CommitteeVeto; target remains 2x. Static human-style benchmark.
2025-08-31,1,Options_CommitteeVeto,2357.208102877426,1.357208102877426,-357.208102877426,Options_CommitteeVeto: chasing OptionsOnly_NoIntervention; target remains 2x. Committee veto: 2x achieved; human risk manager locks gains.
2025-08-31,2,Options_RiskRules,2334.4933090217855,1.3344933090217856,-334.49330902178554,"Options_RiskRules: chasing OptionsOnly_NoIntervention; target remains 2x. Mechanical risk rules: 2x reached, lock gains into SPY/TLT and cash."
2025-08-31,3,Options_HumanOverseer,1771.1530998926576,0.7711530998926575,228.84690010734244,Options_HumanOverseer: chasing OptionsOnly_NoIntervention; target remains 2x. Human overseer: approve options but cap premium at 10% and park capital in SPY.
